abbreviation,state,abbreviation,fips,sentiment
AL,Alabama,AL,US01,-0.571298075192849
AK,Alaska,AK,US02,-1.208558611062392
AZ,Arizona,AZ,US04,-0.8365805798142273
AR,Arkansas,AR,US05,0.1915863379262954
CA,California,CA,US06,-0.8719256121713637
CO,Colorado,CO,US08,-0.17661644726458173
CT,Connecticut,CT,US09,-1.1381985861991013
DE,Delaware,DE,US10,-1.0331051422523148
DC,District of Columbia,DC,US11,0.0
FL,Florida,FL,US12,-0.9249441577214175
GA,Georgia,GA,US13,-0.5418611284698115
HI,Hawaii,HI,US15,-0.1929471335788609
ID,Idaho,ID,US16,-1.0678291516072496
IL,Illinois,IL,US17,-0.7217546543562069
IN,Indiana,IN,US18,-0.7185719552756534
IA,Iowa,IA,US19,-0.44569987990373044
KS,Kansas,KS,US20,-0.49891974422600466
KY,Kentucky,KY,US21,-0.5400112461233284
LA,Louisiana,LA,US22,-0.6637612270511254
ME,Maine,ME,US23,-0.279293077046516
MT,Montana,MT,US30,-1.9388336535534283
NE,Nebraska,NE,US31,-0.28995988190717925
NV,Nevada,NV,US32,-0.1290888772404632
NH,New Hampshire,NH,US33,-0.6908242765706413
NJ,New Jersey,NJ,US34,-0.7106643474207742
NM,New Mexico,NM,US35,-0.8996842992072013
NY,New York,NY,US36,-0.7941436997510565
NC,North Carolina,NC,US37,-0.7561647186626788
ND,North Dakota,ND,US38,-0.38491311520567817
OH,Ohio,OH,US39,-0.6196598323992704
OK,Oklahoma,OK,US40,-0.5867126198001745
OR,Oregon,OR,US41,-1.089399663675273
MD,Maryland,MD,US24,-0.358597410303518
MA,Massachusetts,MA,US25,-0.8738513480342397
MI,Michigan,MI,US26,-0.6303879805768872
MN,Minnesota,MN,US27,-1.0301965608796484
MS,Mississippi,MS,US28,0.9223209574404976
MO,Missouri,MO,US29,-1.0439269734255492
PA,Pennsylvania,PA,US42,-0.6454280948383718
RI,Rhode Island,RI,US44,-1.0749821665390216
SC,South Carolina,SC,US45,-0.7320714490265973
SD,South Dakota,SD,US46,-0.38639079712766056
TN,Tennessee,TN,US47,-0.2047103601549002
TX,Texas,TX,US48,-0.6047959483030232
UT,Utah,UT,US49,-1.3944607671004632
VT,Vermont,VT,US50,-1.5292590472469332
VA,Virginia,VA,US51,-0.7520040518420237
WA,Washington,WA,US53,-0.8404250391266658
WV,West Virginia,WV,US54,-0.6587984830802915
WI,Wisconsin,WI,US55,-0.9405393012765778
WY,Wyoming,WY,US56,-1.9985691478731853
